trial_index,task_id,condition,model,temperature,started_at,unit,true_answer,estimate,lower80,upper80,confidence_within_25pct,confidence_within_2x,difficulty,within_25pct,within_2x,interval80_contains_true,log10_error,abs_log10_error
1,data_center_water,direct,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:04.593142+00:00,liters/year,19389384.0,19128912.0,16000000.0,23000000.0,45,90,3,True,True,True,-0.005873742526645415,0.005873742526645415
2,museum_steps,reflective,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:06.269609+00:00,steps/year,5544000000.0,5610000000.0,4200000000.0,7500000000.0,30,85,3,True,True,True,0.005139639652411057,0.005139639652411057
3,call_center_minutes,direct,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:07.354133+00:00,minutes/year,10187352.0,14979180.0,13481262.0,16477098.0,85,98,2,False,True,False,0.16742672714108373,0.16742672714108373
4,bus_fuel,reflective,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:08.399433+00:00,gallons/year,610418.1818181818,610363.0,550000.0,680000.0,65,95,3,True,True,True,-3.926200618254412e-05,3.926200618254412e-05
5,delivery_miles,reflective,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:09.450873+00:00,miles/year,12520800.0,12513600.0,11887920.0,13139280.0,85,99,2,True,True,True,-0.0002498098900648081,0.0002498098900648081
6,city_elevators,reflective,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:10.866960+00:00,trips/year,18071040.0,17875200.0,15000000.0,21000000.0,65,95,3,True,True,True,-0.004732237522641067,0.004732237522641067
7,school_pencils,reflective,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:11.683909+00:00,pencils/year,290160.0,289640.0,230000.0,350000.0,65,95,2,True,True,True,-0.0007790037638498322,0.0007790037638498322
8,warehouse_boxes,direct,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:12.896220+00:00,boxes/year,1242000.0,1242000.0,1180000.0,1300000.0,90,99,2,True,True,True,0.0,0.0
9,aquarium_food,direct,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:13.759250+00:00,kg/year,29889.6,29848.8,28000.0,32000.0,90,99,2,True,True,True,-0.0005932270571942632,0.0005932270571942632
10,aquarium_food,reflective,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:14.516878+00:00,kg/year,29889.6,28652.0,25000.0,32000.0,85,99,2,True,True,True,-0.018365160610402984,0.018365160610402984
11,clinic_gloves,direct,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:15.855605+00:00,pairs/year,387600.0,3876000.0,3600000.0,4200000.0,85,99,2,False,False,False,1.0,1.0
12,library_pages,direct,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:17.097946+00:00,pages/year,2714400.0,2724800.0,2500000.0,3000000.0,85,99,2,True,True,True,0.001660783981464508,0.001660783981464508
13,hotel_laundry,direct,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:17.951535+00:00,kg/year,497257.0199999999,1395610.0,1150000.0,1650000.0,65,95,3,False,False,False,0.4481831496791629,0.4481831496791629
14,bakery_flour,direct,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:20.431590+00:00,kg/year,506230.0,506390.0,490000.0,525000.0,95,99,2,True,True,True,0.00013724223831802733,0.00013724223831802733
15,hotel_laundry,reflective,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:21.262310+00:00,kg/year,497257.0199999999,1391515.0,1100000.0,1700000.0,60,95,3,False,False,False,0.4469069692544554,0.4469069692544554
16,call_center_minutes,reflective,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:22.739583+00:00,minutes/year,10187352.0,14972580.0,13475322.0,16469838.0,65,95,2,False,True,False,0.16723532979902747,0.16723532979902747
17,museum_steps,direct,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:23.943370+00:00,steps/year,5544000000.0,5544000000.0,4800000000.0,6500000000.0,60,95,3,True,True,True,0.0,0.0
18,coffee_cups,reflective,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:24.957709+00:00,cups/year,7660800.0,76608000.0,65116800.0,88099200.0,65,95,3,False,False,False,1.0,1.0
19,school_pencils,direct,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:26.338511+00:00,pencils/year,290160.0,289920.0,260000.0,320000.0,85,99,2,True,True,True,-0.00035936657565886705,0.00035936657565886705
20,grocery_receipts,direct,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:27.287733+00:00,km/year,218.4525,21845.0,20000.0,24000.0,85,98,2,False,False,False,1.999995029846683,1.999995029846683
21,airport_bags,direct,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:28.179870+00:00,bags/year,5219500.0,5262400.0,4800000.0,5800000.0,65,95,3,True,True,True,0.0035549542170429872,0.0035549542170429872
22,data_center_water,reflective,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:30.013544+00:00,liters/year,19389384.0,19283760.0,15000000.0,24000000.0,30,85,4,True,True,True,-0.0023722940351930833,0.0023722940351930833
